# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
3.175600e-01 4.057000e-02 7.204267e-01 2.628000e-09 8.266000e-01 -8.236333e-01 -1.532333e+00 3.636000e-01 3.719533e+00 4.086667e-02 
3.437200e-01 4.701000e-02 6.434133e-01 2.097333e-09 1.068200e+00 -8.376667e-02 -1.952333e+00 4.844000e-01 2.269000e+00 -3.353333e-02 
2.772400e-01 4.063000e-02 6.327467e-01 1.710667e-09 1.011800e+00 3.610000e-02 -2.885667e+00 2.644000e-01 4.201000e+00 -1.166667e-02 
3.163600e-01 4.571000e-02 7.136000e-01 1.404000e-09 8.182000e-01 -1.278300e+00 -3.890000e-01 4.036000e-01 3.431267e+00 -3.780000e-02 
3.473200e-01 5.349000e-02 6.766933e-01 2.745333e-09 9.838000e-01 -2.945667e-01 -1.406333e+00 8.760000e-02 2.321133e+00 3.766667e-02 
2.618800e-01 4.525000e-02 6.468267e-01 1.668000e-09 1.006200e+00 -1.191500e+00 -1.700333e+00 4.360000e-02 4.455533e+00 -2.466667e-03 
2.858800e-01 5.291000e-02 7.383467e-01 2.534667e-09 9.402000e-01 -4.991667e-01 -2.246333e+00 3.876000e-01 2.364067e+00 4.486667e-02 
3.847600e-01 4.199000e-02 6.884267e-01 1.593333e-09 8.826000e-01 -7.550000e-02 -4.543333e-01 5.732000e-01 3.250333e+00 -4.100000e-02 
2.496400e-01 4.979000e-02 6.118400e-01 2.766667e-09 8.018000e-01 -9.765667e-01 -5.056667e-01 3.412000e-01 2.701400e+00 -8.200000e-03 
2.921200e-01 4.151000e-02 6.886400e-01 1.084000e-09 1.044600e+00 -7.182333e-01 -9.023333e-01 1.960000e-02 3.216600e+00 3.206667e-02 
3.511600e-01 5.141000e-02 7.142400e-01 1.713333e-09 9.598000e-01 -1.271667e-01 -2.414333e+00 4.612000e-01 4.375800e+00 -4.820000e-02 
2.256400e-01 4.235000e-02 6.188800e-01 1.766667e-09 9.082000e-01 -5.549667e-01 -1.826333e+00 2.260000e-01 2.986600e+00 -4.726667e-02 
3.382000e-01 5.067000e-02 7.584000e-01 1.385333e-09 1.038600e+00 -2.036333e-01 -1.938333e+00 6.000000e-03 3.774733e+00 1.593333e-02 
3.706000e-01 4.941000e-02 6.839467e-01 2.737333e-09 8.766000e-01 -1.210100e+00 -4.590000e-01 5.332000e-01 2.946733e+00 2.673333e-02 
2.309200e-01 5.199000e-02 6.201600e-01 2.177333e-09 8.546000e-01 -1.030300e+00 -1.154333e+00 2.508000e-01 4.047667e+00 3.233333e-02 
2.897200e-01 4.119000e-02 6.587733e-01 2.828000e-09 1.037000e+00 1.311667e-01 -2.605667e+00 5.188000e-01 2.738200e+00 7.333333e-04 
3.821200e-01 4.519000e-02 7.185067e-01 1.148000e-09 9.718000e-01 -7.740333e-01 -1.836667e-01 1.516000e-01 2.983533e+00 -3.806667e-02 
2.760400e-01 4.927000e-02 6.604800e-01 1.588000e-09 1.073800e+00 -1.218367e+00 -1.443667e+00 5.000000e-02 2.683000e+00 2.620000e-02 
2.930800e-01 4.241000e-02 7.146667e-01 1.724000e-09 9.174000e-01 1.518333e-01 -2.554333e+00 3.084000e-01 3.992467e+00 -4.860000e-02 
3.790000e-01 5.295000e-02 6.197333e-01 2.673333e-09 8.686000e-01 -3.627667e-01 3.000000e-03 5.260000e-01 3.265667e+00 -6.666667e-05 
2.717200e-01 4.089000e-02 7.138133e-01 1.204000e-09 9.210000e-01 -9.249000e-01 -2.092333e+00 2.200000e-02 3.814600e+00 -1.180000e-02 
3.254800e-01 5.409000e-02 6.523733e-01 1.926667e-09 8.034000e-01 -5.276667e-02 -1.821667e+00 3.228000e-01 2.302733e+00 2.660000e-02 
3.540400e-01 4.885000e-02 6.875733e-01 2.756000e-09 1.098600e+00 -5.735667e-01 2.316667e-01 4.340000e-01 3.710333e+00 -2.366667e-02 
2.302000e-01 4.559000e-02 6.030933e-01 1.940000e-09 9.078000e-01 -2.057000e-01 -2.717667e+00 2.228000e-01 3.802333e+00 2.420000e-02 
2.906800e-01 4.217000e-02 7.057067e-01 1.601333e-09 1.092600e+00 -7.554333e-01 3.623333e-01 4.236000e-01 3.284067e+00 -3.246667e-02 
